Rules	support	confidence
prof_1&meth_cat_2 ==> time_2	59	0.2796208530805687
born_3 ==> time_1	52	0.2708333333333333
meth_cat_1&prof_1 ==> time_4	51	0.2537313432835821
meth_cat_1 ==> time_4	86	0.25219941348973607
meth_cat_1&prof_1 ==> time_5	50	0.24875621890547264
born_4 ==> time_4	87	0.2457627118644068
born_4&start_work_4 ==> time_4	82	0.24404761904761904
prof_1&start_work_4 ==> time_2	74	0.24262295081967214
mach_cat_3 ==> time_4	80	0.24242424242424243
prof_1&born_4&start_work_4 ==> time_4	50	0.23923444976076555
degree_3 ==> time_4	53	0.23873873873873874
prof_1&born_4 ==> time_4	52	0.23853211009174313
meth_cat_3 ==> time_1	75	0.23734177215189872
born_2 ==> time_4	56	0.23628691983122363
degree_4 ==> time_1	64	0.23529411764705882
mach_cat_2 ==> time_4	80	0.23323615160349853
dept_3 ==> time_4	50	0.23148148148148148
dept_3 ==> time_2	50	0.23148148148148148
meth_cat_2 ==> time_2	78	0.22740524781341107
mach_cat_1 ==> time_1	74	0.22629969418960244
degree_2 ==> time_4	56	0.22580645161290322
degree_1 ==> time_5	58	0.2248062015503876
start_work_1 ==> time_5	75	0.22388059701492538
start_work_4 ==> time_2	110	0.22
start_work_1 ==> time_1	73	0.21791044776119403
prof_1 ==> time_2	129	0.21680672268907564
meth_cat_3 ==> time_4	68	0.21518987341772153
born_4&start_work_4 ==> time_2	72	0.21428571428571427
mach_cat_1 ==> time_3	70	0.21406727828746178
degree_2 ==> time_2	53	0.21370967741935484
degree_4 ==> time_4	58	0.21323529411764705
born_4 ==> time_2	75	0.211864406779661
prof_1 ==> time_4	126	0.21176470588235294
mach_cat_2 ==> time_2	72	0.2099125364431487
meth_cat_1 ==> time_5	71	0.20821114369501467
start_work_4 ==> time_4	104	0.208
meth_cat_2 ==> time_1	71	0.20699708454810495
mach_cat_3 ==> time_1	68	0.20606060606060606
degree_4 ==> time_2	56	0.20588235294117646
degree_2 ==> time_5	51	0.2056451612903226
mach_cat_2 ==> time_5	70	0.20408163265306123
born_4 ==> time_3	72	0.2033898305084746
prof_1&start_work_4 ==> time_4	62	0.20327868852459016
meth_cat_3 ==> time_2	64	0.20253164556962025
prof_1 ==> time_5	120	0.20168067226890757
start_work_1 ==> time_2	67	0.2
