born,start_work,dept,degree,prof,mach_cat,meth_cat,time
1992,2020,2,4,0.5909753357786511,3,3,4
1960,1990,1,1,0.8615434369803976,1,1,1
1987,2014,4,1,0.9927494904048444,1,1,4
2002,2020,2,1,0.9130487122621339,2,1,5
1987,2020,5,2,0.7416582107184819,2,2,1
1965,1991,1,1,0.23988183496199667,2,3,4
1966,2005,5,1,0.6243557415362896,3,3,3
1976,1998,2,3,0.8855826247437123,2,1,3
1989,2020,2,2,0.4433170056185798,2,1,2
1995,2014,3,1,0.18907108217281687,1,3,4
1987,2017,3,1,0.7998584582698476,2,3,5
1961,2001,1,1,0.4368414082345735,2,1,5
1967,2005,1,4,0.6356119481749067,2,3,3
1997,2020,4,3,0.9914446454232158,1,2,5
1992,2015,1,1,0.39449863341178537,1,2,3
1967,2001,5,1,0.1332968472735211,3,1,2
1967,2003,4,1,0.2576185533664409,2,3,5
1995,2020,5,3,0.7932361366526007,1,2,5
1999,2020,2,3,0.46410185767299017,2,1,1
1979,2009,5,1,0.9178019759686366,1,2,1
1972,2009,4,3,0.6446429939277234,3,1,2
1975,2014,5,4,0.6300769368514126,2,3,4
1966,1991,4,4,0.747556451555599,1,3,3
1994,2020,3,1,0.3198370740000237,3,3,1
2001,2020,1,2,0.4320836409826565,2,3,2
1971,2006,3,1,0.6949177443409499,3,2,5
1960,1998,5,3,0.810708326391076,3,1,5
1968,1996,3,1,0.4363526632434436,2,3,4
1969,1995,1,2,0.09115380509497895,2,1,1
2000,2020,5,2,0.4556337278162029,3,2,1
1986,2005,1,4,0.1232203324901382,3,3,4
1973,2002,3,3,0.8696738919921483,2,3,1
1998,2020,2,1,0.7366204781368589,3,1,3
1998,2020,5,2,0.667269858531092,1,2,5
1991,2020,4,4,0.02861095421840265,2,3,4
1993,2014,5,4,0.5992733168079504,1,1,1
1970,2000,4,1,0.05376857446789718,3,3,1
1995,2020,5,4,0.1401345022677959,1,2,2
1993,2020,5,2,0.22737940075802943,2,3,5
1970,2000,2,4,0.6247503829029096,1,1,2
1985,2012,2,4,0.026945471961558054,3,3,1
1961,1989,5,2,0.6181463513400514,1,3,5
1995,2020,5,2,0.5369473952570057,2,2,1
1973,2008,4,4,0.5991648206955934,1,2,1
1992,2018,4,1,0.9994292779108671,1,3,3
2000,2020,2,4,0.11046859159343381,2,1,3
1963,1995,4,3,0.9548748808050198,3,2,3
1969,2001,3,3,0.7648919731024418,3,3,1
1999,2020,4,4,0.6021091746487464,3,2,1
1978,2000,5,2,0.41903641721555795,2,2,3
1968,1988,5,3,0.2977205616798875,2,3,2
1970,1989,5,1,0.17352208833162697,3,3,4
1972,1997,2,3,0.03597375464794217,1,3,1
1960,1999,4,1,0.007438623786872656,3,2,1
1992,2020,4,2,0.6192664490242273,1,2,1
1963,1995,5,4,0.6465773970371914,1,2,1
2002,2020,5,2,0.9552072853187822,3,3,2
1978,2005,3,1,0.7745612402146012,2,1,3
1991,2011,4,2,0.3246352905951333,1,1,2
1973,1999,3,4,0.20066973798406984,1,2,5
1979,2007,3,4,0.5609044850229569,2,3,4
1970,1993,2,3,0.9942342912201674,1,1,5
1969,2008,5,4,0.3166700520536684,1,1,1
1994,2020,4,3,0.5347770487248001,3,3,3
1967,2001,2,3,0.02729215091268633,2,1,3
1995,2015,2,3,0.9032161386024029,3,1,4
1999,2020,5,3,0.06159013519438006,2,1,4
1983,2009,3,3,0.34764158688694946,1,1,4
1967,1993,1,4,0.4075904070820201,3,2,3
1967,2000,3,3,0.7795656895335502,3,1,3
1996,2020,1,2,0.5846301553178149,2,3,1
1993,2020,5,1,0.8156648197727623,3,1,4
1987,2015,4,3,0.5750745044869771,3,1,3
1987,2020,3,1,0.07171615355318217,2,2,2
1996,2020,3,4,0.2298293842844692,3,2,1
1973,2005,3,4,0.015549695435865152,2,1,4
2002,2020,2,2,0.6301559575676936,3,1,4
1974,1996,2,2,0.683403273994847,2,3,4
1967,1989,1,1,0.17402383615546024,1,2,5
1980,2019,1,2,0.5587408984430587,1,1,5
1985,2020,2,1,0.28754325637461764,2,1,2
2000,2020,5,3,0.7831342484045739,1,2,1
2002,2020,1,1,0.8033587261023861,2,2,3
1975,2010,4,2,0.6582102486715011,1,2,3
1964,1982,1,1,0.8354867894258992,3,3,3
1983,2001,2,4,0.9707985572143294,1,1,1
1995,2020,3,4,0.8747971222282142,3,3,3
1979,1997,3,2,0.8734484758338577,2,1,1
1986,2020,5,1,0.858825718445945,1,1,5
1965,1991,2,4,0.5310710446746174,2,2,5
1986,2016,4,1,0.7275855643953335,3,1,4
1996,2020,5,2,0.7034230969796939,2,1,3
1979,2009,5,4,0.5999800624960298,2,2,1
1973,1994,4,1,0.6505974685015955,2,3,1
1971,2008,2,2,0.8942402305534713,3,2,1
1980,2015,1,4,0.16521173930355415,3,3,1
1968,1994,5,4,0.0989066740767306,3,2,2
1972,1996,1,4,0.33671492968852723,1,3,3
1996,2016,2,1,0.814801627461161,2,1,1
1975,2015,1,1,0.18723068881197924,3,1,3
1996,2016,2,2,0.6316046026062337,2,2,2
1960,1990,3,3,0.19163826969684616,3,2,2
1987,2012,5,3,0.973745811300309,2,3,5
1985,2020,1,2,0.6686215342821996,2,3,1
1984,2014,4,3,0.07309125626146828,2,2,2
1992,2020,2,3,0.49509194096172937,3,3,4
1974,2008,3,1,0.8887388428855773,2,2,2
1964,1983,5,3,0.9931964391289128,3,2,1
1997,2020,4,3,0.23665833934707314,3,1,5
1967,2001,1,4,0.40424527453755477,1,1,2
1966,2001,1,1,0.49567203775084223,1,3,5
1967,1986,2,2,0.3388603025352145,2,2,3
1967,1986,3,1,0.7789763521379081,3,1,4
1970,1996,4,4,0.36843904364274693,2,1,4
1969,2000,4,1,0.5857917318467571,3,2,3
1997,2020,1,2,0.7598155576565576,3,2,1
1961,1986,2,1,0.7793370489701862,2,1,1
1971,2002,4,2,0.8258074992074549,1,1,1
1968,1996,1,4,0.07332739567182789,2,1,3
1979,2004,5,4,0.21658846644250707,3,3,1
1981,2016,3,2,0.6397575248041603,1,2,4
1969,2006,1,1,0.8863530623859327,2,1,2
1989,2020,3,2,0.5053262144564613,1,2,5
1975,2003,5,1,0.6924240318141649,2,1,5
1979,2000,2,2,0.054144308481505865,2,2,2
1969,1989,5,3,0.4699141604932111,3,1,4
1999,2017,3,4,0.1397984934368841,3,3,4
1987,2014,5,1,0.6796908165649551,1,1,1
1984,2015,5,4,0.3021227841489911,2,1,3
1974,1996,4,3,0.3141571337013508,2,2,2
2000,2020,3,4,0.6460949219049555,1,1,4
1970,2008,3,1,0.6731117817355741,2,2,2
1983,2015,3,3,0.14549444742971818,3,3,5
1984,2020,2,4,0.6998295200177042,1,3,4
1975,1993,2,4,0.5022944244229579,2,3,4
1991,2018,5,1,0.5455848133903342,3,3,3
1969,1989,4,2,0.18118698196315186,2,2,3
1974,2002,4,4,0.3018922784217002,1,1,2
1999,2020,1,3,0.221799373449992,2,1,5
1994,2020,3,4,0.5786505110738772,2,2,5
1970,1999,5,1,0.7855147589412055,3,2,3
1995,2020,1,2,0.2750527576243995,3,3,4
1971,1998,5,2,0.27978231167581036,3,1,4
1960,1983,1,4,0.8934210398444767,2,3,5
1990,2019,3,4,0.9443003493383468,3,3,1
1964,1995,5,3,0.6277147861029753,3,1,5
1999,2020,3,2,0.2867031232212006,2,3,2
1975,1995,2,4,0.3136067238717881,3,1,4
1963,1981,2,4,0.6921004307330733,1,3,2
1975,2012,4,3,0.296479743211564,2,1,2
1961,1983,5,3,0.9952228918638794,1,3,3
1962,1992,3,4,0.35277681242937375,3,2,5
1971,2007,4,1,0.5075799474011131,2,2,4
1978,2014,4,3,0.024416947930437805,1,2,1
1973,2013,3,1,0.1785893722369324,3,2,3
1962,1992,1,4,0.5672744013118213,3,2,2
1971,2001,2,1,0.36016815037975924,3,3,1
1997,2020,5,1,0.6675534311999156,2,3,2
1991,2020,4,2,0.7824795628868677,1,2,5
1973,1993,2,2,0.31346341669067534,3,3,3
1996,2020,2,1,0.5978621391992458,2,1,4
1985,2020,4,4,0.3367408812776269,2,2,1
1972,1995,4,1,0.5359789076363396,2,1,3
1967,2004,5,3,0.865686150909943,1,3,5
1964,1986,3,3,0.8671177506389589,3,1,2
1990,2020,3,2,0.3418991384028861,3,1,4
1968,1994,1,1,0.887935341602644,1,1,5
1962,1985,2,2,0.7935301806525463,2,3,3
1999,2020,1,1,0.5975957743134612,2,2,2
1974,1995,1,2,0.6550361351201509,2,3,2
1982,2005,4,4,0.19374063573318878,2,2,1
1983,2004,5,1,0.7671688983106827,2,1,3
1960,1979,1,2,0.7562540316850809,1,2,1
1992,2019,5,1,0.20705230777480366,3,2,2
1974,2006,2,3,0.08598448968730332,1,2,1
1965,2002,3,2,0.768722959714925,3,3,2
1984,2019,4,3,0.8508989504391928,1,2,4
1999,2020,5,3,0.5001952072370538,2,2,3
1993,2020,2,4,0.07393087281947308,2,1,2
1989,2008,2,4,0.5138800449181123,3,2,1
1997,2015,2,1,0.18164810600987147,3,1,3
1998,2020,5,4,0.8849858444310966,1,1,2
1966,1993,1,3,0.2688002384108168,1,3,2
1960,1982,1,2,0.22459647329369492,2,1,1
1976,1994,1,4,0.23574459062906838,1,3,1
1997,2020,3,4,0.8356652907064079,3,1,4
1970,2002,3,1,0.34755149701143784,3,1,1
1965,1987,2,1,0.970190763615128,2,3,5
1993,2020,3,4,0.6571993483148969,3,2,2
1970,2003,4,2,0.788487939218169,3,1,4
1989,2020,3,1,0.36453227095903473,1,2,2
1963,1984,5,2,0.3022775376368163,3,2,1
1981,2020,2,1,0.040348210107147064,1,1,1
1985,2004,1,1,0.1970806247659601,2,2,4
1978,2016,3,3,0.44812464125658835,1,2,3
1973,1994,3,3,0.782553180443755,2,1,4
1973,2012,1,3,0.7770806464453686,1,3,4
2000,2020,4,1,0.5852555769164178,1,1,2
1996,2017,3,1,0.4971729908746124,1,2,5
1976,2003,4,4,0.8642735064127609,2,1,1
1980,2016,1,1,0.6113088586578954,1,1,3
1996,2020,4,4,0.42642764664072563,2,3,2
1984,2020,2,3,0.3310797174314005,1,2,4
1964,2004,3,2,0.8013756751685186,3,1,4
2001,2020,5,1,0.13699684106578447,1,2,4
1990,2010,2,3,0.38900952811572853,3,2,2
1992,2019,1,2,0.8737775802214506,2,1,5
2001,2020,1,3,0.48230570007666007,2,2,3
1963,1987,5,4,0.36231763863923006,2,3,2
1997,2020,2,3,0.6661824165519913,2,3,5
2001,2020,3,1,0.6321124975379685,3,2,4
1970,1997,1,4,0.43429450404452785,3,1,4
1970,1998,1,3,0.0058430090456457195,2,2,4
1966,2001,1,2,0.2308121271974899,3,2,5
1994,2020,1,3,0.6081754418997815,2,3,4
1986,2020,2,4,0.711874917727838,1,2,2
1990,2013,1,2,0.6179146551077019,3,2,4
1960,1982,5,1,0.530895335896886,3,2,3
1989,2015,4,4,0.7880546840430759,1,3,1
1997,2015,1,4,0.5995161009057658,1,3,5
2002,2020,3,4,0.2785764256195069,3,1,4
1996,2020,2,1,0.38058111501099146,1,1,1
2000,2020,3,1,0.24043589627747552,3,2,1
2000,2020,5,4,0.2268847496949845,1,3,1
1984,2014,1,4,0.2637332577185736,3,2,2
1961,1990,4,4,0.47019431626739616,1,2,2
1972,2005,4,1,0.6770344719326298,3,3,1
1968,1995,5,2,0.007760504107333643,1,2,5
1994,2020,2,2,0.2568800349683681,3,2,2
1983,2002,5,1,0.4336357956456032,1,2,3
1993,2020,4,4,0.9430462551556998,3,3,5
1987,2014,2,1,0.9332613371314699,1,1,3
1981,2000,5,1,0.37452637556006485,2,1,4
1991,2013,4,3,0.6394396677568954,3,3,1
1982,2004,4,3,0.332987673301847,2,2,2
1964,2003,5,2,0.9602588521272493,3,3,2
1967,1990,3,2,0.8304786582560677,2,2,5
1964,1985,2,3,0.7567035607536932,1,2,3
1997,2017,4,4,0.5836159282614107,2,1,2
1990,2020,4,1,0.6290159305598567,3,2,3
1969,2008,4,4,0.7292524122260626,2,1,4
1970,1990,4,1,0.5854319057856024,1,2,2
1973,2012,1,3,0.6795779810580037,1,3,3
1974,2011,1,2,0.5483868082374743,1,3,3
1972,1998,3,1,0.20964068611151532,3,2,2
1986,2016,4,1,0.631908321503843,2,3,1
