ave_born,ave_start_work,dept_num,dept_worker_num,ave_prof,mach_cat,meth_cat,time
1976,2002,27,24,0.4029054540656495,2,1,4
2000,2020,24,19,0.13184368288128046,2,2,1
1993,2014,21,17,0.5361555854459479,2,3,5
1982,2008,27,22,0.3197911105091684,1,3,4
2001,2020,10,5,0.917190157168518,1,1,1
1995,2020,16,14,0.49624536593161905,1,3,4
1968,1989,10,7,0.2141808787030518,1,3,2
1980,2016,13,5,0.5321105661545066,3,1,2
1993,2020,24,17,0.913995890398004,2,3,3
1984,2020,14,11,0.6939420922510077,1,1,2
1978,2005,22,16,0.410866742242219,2,1,2
2000,2020,21,14,0.22946270835097526,1,3,1
1990,2020,24,18,0.9926214408174712,3,3,2
1975,2006,20,18,0.48141210945197666,1,3,5
1982,2020,25,17,0.9816844392199177,2,3,3
1981,1999,14,12,0.34153768920201266,2,1,1
1998,2020,27,24,0.6251081337369808,3,2,2
1962,1985,25,17,0.6397812332664574,1,3,1
1970,1998,22,17,0.9207633002166992,3,1,4
1988,2020,16,14,0.09355444961757031,1,3,5
1973,2002,16,8,0.46624804874774883,2,2,3
1974,2001,12,7,0.10767667088519572,3,2,5
1964,1995,27,23,0.08062463216527094,1,1,3
1971,2008,19,10,0.4558138784833742,1,2,1
1968,1992,27,20,0.12186794167048842,2,2,5
1976,2000,18,15,0.33058575343759844,1,3,4
1975,1993,19,14,0.23798588200145587,1,1,2
2001,2020,14,10,0.7881895856589957,1,1,5
1968,1995,17,10,0.6582235550897427,1,3,5
1992,2020,27,22,0.5358520790776986,1,2,5
1977,2002,25,18,0.4664466635058867,1,1,4
1991,2010,19,15,0.22030655615330974,3,2,5
1998,2020,16,10,0.45419371949131804,1,3,5
1968,1992,20,15,0.7047984452598979,3,3,3
1990,2020,13,8,0.2888928737106474,2,3,5
1976,2008,11,7,0.4208764296811681,2,1,3
1973,1995,28,23,0.02782385997334358,2,2,4
1984,2009,12,7,0.0376689700296039,1,3,2
1990,2020,23,20,0.23542194378663683,3,2,5
1977,1998,18,13,0.5367527520229411,3,1,4
1973,2007,15,8,0.15450878054240913,1,1,2
1995,2020,17,13,0.3153901180831381,2,3,4
1988,2020,23,15,0.7513360106410885,1,1,2
1991,2010,27,21,0.732403031839919,2,2,3
1981,2014,16,13,0.21178081828294948,2,2,1
1970,1989,17,8,0.7911722891351166,2,2,4
1972,2009,29,27,0.9477678612155699,3,3,1
1992,2014,18,9,0.9301074680562559,1,2,5
1979,2019,13,5,0.5775430844738737,3,3,4
1983,2011,16,7,0.2224215830963644,2,3,4
1997,2020,18,13,0.0784006662253296,3,3,3
1972,2000,18,13,0.583658429051934,1,1,5
1966,1993,28,26,0.6594238208144745,2,1,1
1997,2020,13,8,0.6734698741315011,1,1,5
1988,2006,23,17,0.9725064421679638,2,2,2
1991,2020,24,16,0.49958170660392187,2,1,4
1961,1994,12,8,0.13532954513586082,3,2,1
1977,2010,10,1,0.37121321225221693,3,1,2
1999,2020,13,8,0.7821678468995724,3,1,1
1998,2020,23,18,0.9139491974216699,1,3,3
1991,2014,17,10,0.45636891109608757,1,2,1
1973,2001,16,7,0.14401401713348128,3,1,4
1999,2020,12,6,0.1937718470215044,2,1,4
1972,2001,20,17,0.5544466276172332,2,2,1
1966,2004,19,17,0.686288310868927,2,2,4
1978,2014,28,24,0.3075929375578127,2,3,4
1960,1990,22,16,0.7094565378497174,1,1,3
1962,1980,16,7,0.48176621479888315,3,3,1
1993,2012,29,22,0.9941639813065457,3,1,5
1967,2002,10,6,0.7570879148148167,3,3,1
1964,2002,26,23,0.5781921637422375,3,2,4
1981,2001,17,12,0.1965049803418405,2,3,1
1992,2016,18,13,0.11891194393616533,3,3,3
1989,2017,18,15,0.32553332755047426,3,1,2
1992,2020,12,6,0.7789266401271508,3,2,5
2002,2020,17,8,0.43879232008728897,1,1,4
1998,2016,27,22,0.9227646452194258,2,3,1
1979,2006,13,8,0.8358477946538899,2,2,3
1990,2019,16,14,0.9390222663777705,2,3,5
1964,1982,13,7,0.9816415170433526,1,2,2
1967,1987,18,12,0.27062188609207327,1,1,5
1962,1999,28,24,0.13326817357669396,3,3,5
1969,1989,16,9,0.27657346176959896,1,3,2
1999,2020,11,8,0.9561182778805493,1,3,2
1977,2010,13,4,0.08654870971457684,2,1,1
1990,2020,18,13,0.09499202674183405,3,3,2
1992,2020,21,15,0.926376128983162,3,1,4
1998,2020,25,23,0.7826940175580648,1,2,1
1997,2018,11,2,0.02419595104762451,1,3,3
1987,2020,16,13,0.3166852537891689,2,1,3
1961,1987,28,21,0.19955199174046745,1,2,3
1963,1982,27,20,0.15623472006481953,3,3,2
1992,2020,22,14,0.2765922155107742,1,3,1
1991,2020,24,18,0.4076177460212719,1,1,2
1969,1995,19,13,0.8852312535577267,1,3,5
1988,2020,22,13,0.3338202685182924,1,2,5
1978,1998,28,19,0.8633772935232734,3,3,5
1987,2014,29,23,0.08202820447899684,2,3,2
1971,1993,25,20,0.1291626320849657,3,2,4
1968,1994,14,9,0.33770120743072773,2,3,4
1995,2017,22,18,0.2502510891673967,3,3,3
1966,2003,13,10,0.6544146106582847,1,2,4
2001,2020,20,11,0.8552257733679361,2,3,4
1998,2020,24,22,0.46634802292912036,3,1,3
1969,2008,28,24,0.49389088900593847,1,2,2
1999,2020,18,16,0.554526004635528,1,2,5
1997,2020,16,13,0.37698810492154455,2,3,4
1963,1991,11,9,0.27194637556107104,3,3,4
1976,2004,17,14,0.40133254099930826,1,3,4
1990,2012,29,23,0.6182740702092219,1,1,1
1988,2006,25,17,0.1252964929537317,3,2,4
1993,2012,25,22,0.5448780033805835,1,2,3
1969,2007,26,20,0.2553890357330534,2,3,3
1996,2020,14,12,0.7665870410349866,1,3,5
1983,2020,20,16,0.391518879863342,3,3,2
1999,2020,13,6,0.6439792870211571,2,1,4
1967,2006,14,5,0.7226177384467316,2,1,4
1965,1985,22,20,0.43068570400241113,1,3,2
1967,1995,25,18,0.7050464142013744,1,2,4
1983,2015,19,14,0.10061400546342303,2,1,5
1964,1998,25,17,0.3442030555676312,2,2,3
1977,1997,26,18,0.22642087006003453,3,1,4
1984,2003,20,15,0.0705594280864551,3,3,1
1993,2020,16,10,0.22964823424686098,1,1,1
1986,2020,29,24,0.7401449386112563,2,1,2
1991,2020,18,12,0.47243081764958417,2,2,1
1970,1989,28,22,0.7893656661688284,1,3,3
1972,1991,22,19,0.06303845207547576,1,1,5
1984,2013,22,18,0.1560693849191609,1,3,1
1971,1997,29,25,0.9963880850743885,1,2,2
1984,2007,14,5,0.8957976161547777,1,2,3
2002,2020,18,16,0.8410863200362857,2,2,1
1993,2015,16,10,0.8818592564402894,3,2,3
1993,2016,28,25,0.42735536385818595,3,1,5
1970,2005,20,14,0.23974293940098101,1,3,4
1978,1998,20,11,0.0540195315885843,3,3,4
1979,1997,16,14,0.9594805885041373,1,2,5
1974,2000,22,18,0.7441116104205249,2,1,2
1998,2017,29,22,0.09817608678087264,3,3,2
1979,2017,18,15,0.02663474219245754,3,1,2
1978,1998,14,7,0.5116511161222871,1,2,2
1996,2015,20,15,0.707568146243882,3,1,3
1989,2020,12,10,0.8377869331211186,1,3,3
1979,2005,24,18,0.23654240185097342,3,2,2
1973,2006,21,19,0.5082099694846715,1,1,5
1963,1992,11,2,0.11022673737354483,1,2,3
1965,1991,27,23,0.20232267867070497,1,2,1
1992,2020,15,10,0.5196494014062893,2,1,5
1976,1998,10,2,0.25555559679793516,3,3,1
1974,2006,25,21,0.720355963573088,1,1,1
1981,2001,11,8,0.620442511147352,1,3,3
1980,2005,28,19,0.7377586274564384,3,2,3
1961,1983,25,17,0.38019414518374806,1,1,5
1971,2003,29,21,0.21575919193740345,3,2,1
1994,2013,17,15,0.29926789137308296,3,3,3
2000,2020,13,10,0.14736711434543226,2,3,3
1986,2014,28,25,0.4548011457756508,3,1,1
1979,1997,23,21,0.5327515260384926,2,1,3
1992,2020,15,7,0.6323356307636934,3,2,5
1974,1998,20,18,0.0737444603813856,1,2,3
1984,2007,18,11,0.2727206971807711,2,2,1
1979,2005,11,8,0.037806234405052486,3,2,2
1960,2000,24,19,0.07250441605710178,2,2,2
1969,1997,12,4,0.5251019592992965,2,2,5
1983,2014,27,25,0.8633081857640915,3,3,4
1991,2010,25,18,0.4692027775269926,2,2,4
1980,2013,18,10,0.31219266946166024,2,2,2
1998,2020,25,16,0.09738523672850352,1,2,1
1962,1988,20,15,0.43719082925792074,2,3,4
1994,2013,10,2,0.29963257941319255,2,1,2
1962,1986,21,18,0.6367709285707832,3,1,1
2000,2020,22,20,0.6345461578910286,1,3,3
1996,2020,13,11,0.5405290313898341,1,2,2
1983,2020,12,7,0.30649449282484975,2,1,4
1977,1999,15,10,0.8907486618285041,1,3,2
1964,2002,10,2,0.025951027047225295,2,1,4
1962,1985,23,14,0.14879897006178588,1,1,1
1966,1989,21,13,0.02978549613566983,2,1,4
1978,2005,27,20,0.05123413155441159,2,2,3
1977,1998,28,19,0.2958735355259753,2,3,1
1975,2001,24,18,0.07227208368979043,2,1,5
1979,2007,28,20,0.00697920561601606,2,1,3
1989,2018,12,3,0.901382404699281,3,2,2
1971,1998,25,19,0.3571048429201594,3,1,2
1963,1990,23,19,0.12860967182638272,1,2,4
1989,2020,28,25,0.9053069539948032,1,1,1
1973,2006,15,10,0.3885283300453829,3,2,1
1974,2000,29,26,0.8441919132201706,1,2,5
1996,2020,16,13,0.9585968768024,2,2,5
1976,2005,17,15,0.7641289588715953,3,2,5
1977,2014,29,21,0.8674886329935335,2,1,1
1988,2020,24,19,0.8638274540123202,2,3,1
1986,2017,28,23,0.5991434353241479,1,3,4
1982,2008,12,8,0.5363082690878868,3,3,1
1965,2000,25,23,0.40319484442345055,3,2,4
1996,2020,10,8,0.5356462066332373,2,2,4
1962,1987,29,22,0.8555728390578902,2,2,2
1971,1991,20,15,0.35883237443162685,1,1,2
1990,2020,10,4,0.2972827518665069,1,2,3
1975,2000,25,19,0.663353407170683,2,2,5
1992,2019,26,23,0.3695799875195779,3,2,2
1964,1997,25,17,0.9991725042687184,1,3,4
1962,2000,15,8,0.2597346740158746,2,1,4
1983,2004,27,21,0.6105782280243292,3,1,2
2002,2020,15,13,0.9443890681941755,3,2,2
1964,1983,20,12,0.37288367539402,2,1,2
1993,2020,20,18,0.14807987085735186,1,1,1
1977,1997,29,22,0.03838474015880289,2,3,5
1983,2002,20,11,0.8032942185728837,3,2,4
1961,1991,16,11,0.41803562007906914,1,1,5
1974,2007,29,25,0.47218756436636644,3,1,3
1969,2008,28,25,0.7834649678505506,3,3,1
1968,2008,17,13,0.6062569470076855,3,2,1
2000,2020,23,18,0.24119726131049657,2,1,5
1967,1985,12,5,0.898443009435812,3,1,2
1991,2020,19,12,0.912761236338462,3,1,4
1980,2007,26,18,0.40620777736819236,3,3,1
1982,2005,29,26,0.8239763753096976,2,2,2
1976,2005,11,4,0.6296127320362696,2,3,5
1993,2020,20,17,0.2195677125384241,3,1,5
1996,2020,20,11,0.7912801348237488,1,1,1
1997,2017,20,13,0.788146860610432,1,1,4
1984,2019,19,16,0.42169597399818093,1,2,5
1969,1988,16,9,0.325923345132333,1,1,2
1975,2001,26,19,0.6263361668322119,1,2,2
1960,1983,13,7,0.5574581891140707,1,1,2
1997,2020,11,4,0.7505233783181071,2,1,2
1981,2004,15,7,0.5944065263139875,2,1,1
1972,2004,14,12,0.14671935710860884,2,2,4
1974,2009,24,19,0.11474720755684731,2,2,3
1988,2020,17,14,0.25718354512005337,3,3,1
1994,2020,13,10,0.6278351920237166,1,3,4
2001,2020,25,23,0.6377503909459349,2,1,4
1977,2008,25,18,0.10771353490074742,2,2,4
1975,2005,21,13,0.0884766223523098,3,1,3
1974,2005,10,4,0.04131363429408741,3,3,5
1989,2016,10,4,0.5711505026090888,1,2,3
1978,2015,23,20,0.5010974553259241,3,2,1
1974,2004,28,22,0.9814863344488904,2,2,2
1994,2020,16,11,0.4108413085307343,1,2,3
1972,2011,15,8,0.7712462885120818,1,1,1
1968,1995,15,7,0.2903190748378127,2,3,1
1991,2020,10,5,0.46826071463340224,2,3,4
1961,2001,27,22,0.7009062110617791,2,3,5
1968,1986,24,17,0.21985839438756094,2,2,2
1983,2015,18,14,0.01477383599741633,3,3,1
1985,2020,17,11,0.9748966919194537,1,1,1
1966,1999,16,13,0.8765061193719386,1,2,3
1981,2006,27,22,0.0023720311783956838,2,2,3
1971,2010,14,12,0.30393123905918207,1,3,4
1965,1995,24,15,0.6112008615275009,2,3,4
1965,2000,12,4,0.25073809204151143,1,3,2
1963,1988,16,7,0.7313246010147143,1,1,3
1969,1999,13,11,0.9064092472102999,3,1,1
1962,2002,10,5,0.12748438632855652,1,1,4
1984,2020,28,22,0.837596449888901,3,1,2
1968,1995,16,8,0.8883098178548245,1,2,5
1992,2018,26,21,0.5960865956203413,2,1,5
2001,2020,22,14,0.5851521962284884,3,2,5
1994,2020,18,9,0.059796849499839766,3,3,5
1984,2009,26,24,0.9827239778009176,3,3,3
1978,2008,11,4,0.8361053629793732,2,1,2
1968,1990,22,20,0.678426699814874,3,1,4
1975,2007,17,11,0.1703332832176072,3,1,3
1975,2004,14,11,0.9027736525321655,2,3,1
1991,2020,15,10,0.7359278997213202,1,3,4
1978,2006,25,16,0.4566022132181786,1,3,1
1974,2001,19,16,0.08571034209782913,3,1,3
1995,2020,29,26,0.22050830475105254,3,2,4
1976,2000,18,16,0.8819785965286601,3,2,1
1964,1999,18,13,0.10337610788616669,3,2,5
1984,2002,14,12,0.1714323295947212,1,2,3
1999,2020,15,7,0.6655722977366583,2,1,3
1964,1987,29,22,0.6069789663907109,3,2,1
1966,2005,21,17,0.029031588612244974,1,3,1
1997,2016,17,14,0.7100601627713837,2,2,1
1965,2001,26,22,0.8971719579275192,3,3,1
1970,1997,20,13,0.38201038413076605,1,3,2
1972,2006,13,5,0.8001145344849088,3,1,4
1974,2000,10,1,0.24402241750052822,2,2,2
1986,2016,20,18,0.515229260726746,3,1,5
1997,2020,26,24,0.6338734230446029,3,2,5
1985,2005,18,11,0.09789719777531214,1,1,3
1977,2002,21,16,0.6846081808029161,2,1,2
1962,1989,26,20,0.057870359542257055,2,1,4
1979,2015,10,4,0.3233446520445249,1,2,2
1974,1997,22,18,0.7737576212623086,2,3,5
1987,2017,12,9,0.5334724467281705,1,3,3
1997,2019,27,21,0.6765288699385718,2,3,1
1970,1990,29,21,0.8437608473829765,1,1,4
1985,2017,29,27,0.49365131433234644,2,3,1
1979,2014,28,23,0.705478154317589,2,3,5
1990,2015,26,17,0.9090731932320024,1,1,3
1976,2004,25,21,0.32699966371923306,1,1,3
