com_1,com_2,com_3,com_4,com_5
0,0,1,0,0
1,0,1,0,0
0,0,1,1,1
0,1,0,0,1
1,0,1,0,0
1,0,0,1,1
1,0,0,1,0
0,0,0,0,1
0,0,0,1,1
1,0,1,0,0
1,1,0,1,0
1,1,1,0,0
1,0,0,0,0
0,1,0,0,1
1,0,1,1,1
0,0,0,0,1
1,1,0,0,1
0,0,1,1,1
0,0,1,1,0
1,1,1,0,1
0,1,0,0,1
1,1,1,0,1
0,1,1,0,1
0,1,1,1,0
0,0,1,0,0
0,0,0,0,0
1,0,1,0,0
1,0,1,1,0
0,0,0,1,1
0,0,1,1,0
1,0,0,0,1
1,1,1,1,1
1,0,0,0,1
1,1,0,0,0
1,1,1,1,1
1,0,0,1,1
0,0,1,1,0
0,0,0,1,0
1,0,0,1,0
1,0,0,1,1
0,1,1,0,0
0,0,1,1,0
0,0,0,0,0
0,1,0,0,1
0,0,0,0,1
1,1,0,0,0
0,1,0,1,0
1,1,1,1,0
0,1,1,1,0
0,1,0,0,1
1,1,0,0,1
0,1,0,1,0
0,1,0,0,1
1,0,0,1,0
1,0,1,1,1
1,0,0,1,1
1,0,0,1,0
1,0,1,0,0
0,0,1,1,1
0,1,1,0,0
0,0,0,0,0
1,0,1,1,0
0,0,1,1,0
0,0,1,0,1
1,0,1,1,0
0,1,0,1,1
0,1,0,1,1
0,0,1,1,0
0,0,0,0,1
1,1,0,1,0
0,0,1,0,1
1,0,0,1,0
1,0,0,0,1
1,0,0,0,1
1,0,0,1,1
1,1,0,1,1
0,0,1,0,0
1,0,1,0,0
0,1,0,0,0
1,0,1,1,1
0,1,0,1,0
0,1,1,0,1
1,1,0,0,1
0,0,0,0,1
0,0,0,0,0
1,0,1,1,0
0,1,0,1,0
1,1,1,0,1
0,1,1,1,1
1,0,0,1,1
1,0,0,0,0
0,1,0,0,0
1,1,0,0,1
1,0,1,0,0
1,0,0,1,0
1,0,0,0,1
1,1,1,0,0
0,1,1,0,0
1,1,0,1,1
1,0,0,0,0
1,1,0,1,0
1,1,1,0,1
0,1,0,1,1
0,0,1,1,1
1,0,1,1,1
1,1,1,1,1
1,0,0,1,1
1,1,0,1,0
1,0,1,0,0
1,1,0,0,0
0,1,0,1,0
0,1,0,1,1
1,0,1,0,0
0,1,0,1,1
1,0,1,0,0
0,0,0,0,0
0,1,0,1,0
1,0,0,1,1
1,1,1,1,1
1,0,0,1,1
1,0,0,0,0
0,0,0,1,1
0,0,1,0,1
