Rules	support	confidence
hum_3 ==> time_5	55	0.27638190954773867
tem_1 ==> time_5	84	0.2709677419354839
sur_tem_8 ==> time_2	66	0.24812030075187969
is_gas_1&is_dew_1 ==> time_2	57	0.24050632911392406
is_gas_0&is_dew_1 ==> time_5	59	0.23790322580645162
mach_cat_1 ==> time_5	81	0.23684210526315788
hum_1&is_dew_1 ==> time_1	52	0.23529411764705882
is_gas_0 ==> time_5	121	0.23495145631067962
meth_cat_2 ==> time_5	68	0.23367697594501718
meth_cat_3 ==> time_1	82	0.23295454545454544
is_gas_0&is_dew_0 ==> time_5	62	0.23220973782771537
hum_1&is_dew_0 ==> time_3	61	0.22761194029850745
is_gas_1&is_dew_1 ==> time_1	53	0.22362869198312235
is_gas_1 ==> time_2	108	0.22268041237113403
is_dew_1 ==> time_2	108	0.22268041237113403
mach_cat_3 ==> time_1	73	0.22121212121212122
sur_tem_8 ==> time_1	58	0.21804511278195488
is_gas_1&is_dew_0 ==> time_4	54	0.21774193548387097
hum_1&is_gas_1 ==> time_1	54	0.21686746987951808
hum_1 ==> time_1	106	0.2167689161554192
hum_1&is_gas_0 ==> time_1	52	0.21666666666666667
mach_cat_2 ==> time_2	71	0.21646341463414634
is_dew_1 ==> time_5	104	0.21443298969072164
is_gas_0&is_dew_0 ==> time_1	57	0.21348314606741572
mach_cat_2 ==> time_5	70	0.21341463414634146
is_dew_1 ==> time_1	103	0.21237113402061855
sur_tem_8 ==> time_5	56	0.21052631578947367
meth_cat_1 ==> time_2	75	0.21008403361344538
hum_1&is_dew_0 ==> time_4	56	0.208955223880597
hum_1&is_gas_1 ==> time_3	52	0.20883534136546184
hum_1 ==> time_3	102	0.2085889570552147
hum_1&is_gas_0 ==> time_3	50	0.20833333333333334
is_dew_0 ==> time_5	107	0.20776699029126214
is_gas_0 ==> time_1	107	0.20776699029126214
is_gas_1 ==> time_1	100	0.20618556701030927
mach_cat_3 ==> time_2	68	0.20606060606060606
mach_cat_3 ==> time_3	68	0.20606060606060606
is_gas_1&is_dew_0 ==> time_2	51	0.2056451612903226
is_gas_0&is_dew_1 ==> time_2	51	0.2056451612903226
is_gas_1&is_dew_0 ==> time_3	51	0.2056451612903226
is_gas_0&is_dew_1 ==> time_3	51	0.2056451612903226
hum_1&is_gas_1 ==> time_2	51	0.20481927710843373
meth_cat_3 ==> time_2	72	0.20454545454545456
meth_cat_1 ==> time_3	73	0.20448179271708683
is_dew_0 ==> time_4	105	0.20388349514563106
is_dew_0 ==> time_1	104	0.20194174757281552
is_gas_0 ==> time_3	104	0.20194174757281552
is_dew_0 ==> time_3	104	0.20194174757281552
meth_cat_3 ==> time_5	71	0.20170454545454544
meth_cat_1 ==> time_5	72	0.20168067226890757
is_gas_0&is_dew_1 ==> time_1	50	0.20161290322580644
hum_1&is_dew_0 ==> time_1	54	0.20149253731343283
mach_cat_2 ==> time_1	66	0.20121951219512196
