hum,tem,is_gas,sur_tem,is_dew,mach_cat,meth_cat,time
72,-25.89297468194771,1,57.17293132383749,0,3,2,3
17,10.60215134071175,0,73.61606370456128,0,3,3,4
83,3.346888900498456,0,92.07328262929195,1,2,1,3
69,21.23474984674469,1,44.71695700721972,0,2,1,5
7,22.573248746773686,1,73.28832173981831,1,3,3,1
40,17.297859479523325,0,97.57072331628933,1,2,1,4
99,31.36661708487223,0,-11.952692156341286,0,3,2,3
66,-38.140448272875204,0,-48.6140788771132,0,3,1,5
71,11.192625738182294,1,57.507978496959794,1,3,1,4
99,-36.15658838086821,1,-5.84696329850172,1,3,2,3
12,17.13568843133359,0,78.82581357930397,0,3,2,1
49,25.805127364318878,1,70.74254860613138,1,3,3,1
92,-33.67226196680696,0,3.652994295642088,0,1,1,3
69,24.194128578843532,0,46.6935685419306,0,2,2,3
36,20.835228643571327,1,21.387308215674324,1,2,1,1
19,-38.25844936070097,1,80.97131397867437,1,2,1,2
38,-0.1476672041404683,1,66.40935963523714,0,3,3,5
88,38.400185789669194,1,57.19519565757656,1,3,1,3
4,14.882387345519689,0,97.9719022765494,0,3,3,3
56,-0.35837430400557224,0,49.03792559396837,1,1,2,2
37,36.74569102084526,0,-32.0424329510328,1,1,2,1
8,6.375075357535351,1,89.6904633889979,0,3,2,4
72,35.21580173116037,1,98.3191768466884,1,3,3,1
88,7.711726891486251,0,25.058628620954565,1,1,3,2
40,-30.22725311352223,1,-39.05593703001995,1,1,3,1
68,9.676745989427232,1,84.94298775764489,0,1,3,4
35,0.48852624139959033,1,-43.43089183737129,0,3,1,5
14,-16.675744754511626,0,-34.291677879779215,1,2,3,3
87,28.390166228094643,1,75.88034988210265,1,2,3,2
90,18.896822423653106,0,68.08779046090959,0,2,3,1
84,-29.592636012337522,1,-39.29840994243851,1,2,1,3
91,4.221272853118059,0,75.24253295182312,1,3,2,3
54,14.831342016172627,0,-18.431878308028793,1,2,1,2
45,-18.772186397101787,1,-17.358096838613832,0,2,3,1
51,-4.1127199414254605,0,45.199540144486704,0,1,2,5
85,-47.372451884378954,0,93.25765032418414,1,3,2,3
54,-15.560107408105004,0,-42.24156420849505,0,3,1,4
18,-27.73026860446612,0,85.92135052750874,1,2,1,3
100,-46.46808582416329,0,25.415600206927465,1,2,1,1
58,16.861438405243973,0,55.5018042673896,0,1,2,5
67,38.01437915709597,1,79.90124950935066,1,1,1,3
64,-30.83270006799754,1,5.738603796457362,1,2,3,5
35,-7.323327329282421,0,28.75335873838374,0,1,2,1
1,28.814847872276033,0,61.340909006983196,1,3,1,2
2,19.82718251218968,0,26.599791767626286,1,1,3,1
54,-31.46595312652796,0,67.03880639252516,1,3,2,1
