Rules	support	confidence
per_con_1 ==> time_4	56	0.25925925925925924
mach_cat_2&per_con_2 ==> time_2	63	0.2581967213114754
meth_cat_1&per_con_2 ==> time_1	62	0.2572614107883817
mach_cat_2 ==> time_2	80	0.2507836990595611
is_metal_1&is_gas_0 ==> time_4	62	0.2421875
is_gas_1&per_con_2 ==> time_2	88	0.2371967654986523
tem_1 ==> time_2	79	0.23652694610778444
meth_cat_1&per_con_2 ==> time_2	57	0.23651452282157676
is_metal_1&is_gas_1 ==> time_2	54	0.23580786026200873
is_metal_1 ==> time_4	114	0.23505154639175257
per_con_2&meth_cat_3 ==> time_4	60	0.23346303501945526
meth_cat_3 ==> time_4	74	0.23270440251572327
tem_1&per_con_2 ==> time_2	60	0.23255813953488372
is_gas_1 ==> time_2	113	0.23203285420944558
hum_1&is_gas_0 ==> time_4	58	0.23107569721115537
hum_2 ==> time_2	51	0.22869955156950672
is_gas_1&is_metal_0 ==> time_2	59	0.22868217054263565
hum_1&is_metal_1 ==> time_4	59	0.2277992277992278
meth_cat_1 ==> time_2	76	0.2275449101796407
is_metal_1&is_gas_1 ==> time_4	52	0.22707423580786026
meth_cat_2&per_con_2 ==> time_3	63	0.22661870503597123
per_con_2&is_metal_0 ==> time_3	91	0.22580645161290322
mach_cat_1&per_con_2 ==> time_3	57	0.22529644268774704
is_metal_0 ==> time_2	116	0.22524271844660193
hum_1&is_gas_1 ==> time_3	57	0.22440944881889763
meth_cat_2 ==> time_3	78	0.22413793103448276
hum_1&is_metal_0 ==> time_3	55	0.22357723577235772
meth_cat_2&per_con_2 ==> time_5	62	0.22302158273381295
is_gas_0&is_metal_0 ==> time_2	57	0.22178988326848248
meth_cat_1 ==> time_1	74	0.2215568862275449
tem_1&per_con_2 ==> time_1	57	0.22093023255813954
is_gas_1&is_metal_0 ==> time_1	57	0.22093023255813954
per_con_2&is_metal_0 ==> time_2	89	0.22084367245657568
meth_cat_3 ==> time_2	70	0.22012578616352202
mach_cat_3&per_con_2 ==> time_1	61	0.21863799283154123
mach_cat_3&per_con_2 ==> time_5	61	0.21863799283154123
per_con_2&is_metal_0 ==> time_1	88	0.21836228287841192
is_gas_0&is_metal_0 ==> time_3	56	0.2178988326848249
is_metal_1&per_con_2 ==> time_4	81	0.21715817694369974
hum_1&is_gas_1 ==> time_2	55	0.21653543307086615
per_con_2 ==> time_2	168	0.21649484536082475
tem_1 ==> time_1	72	0.2155688622754491
is_metal_0 ==> time_3	111	0.21553398058252426
is_gas_0&per_con_2 ==> time_3	87	0.21481481481481482
mach_cat_1 ==> time_3	68	0.21451104100946372
is_gas_0 ==> time_4	110	0.21442495126705652
hum_1 ==> time_3	108	0.21386138613861386
is_gas_1&is_metal_0 ==> time_3	55	0.2131782945736434
is_metal_1&per_con_2 ==> time_2	79	0.21179624664879357
is_metal_0 ==> time_1	109	0.21165048543689322
mach_cat_3 ==> time_4	77	0.21153846153846154
mach_cat_3 ==> time_1	77	0.21153846153846154
hum_1&is_metal_0 ==> time_1	52	0.21138211382113822
hum_1&is_gas_0 ==> time_1	53	0.21115537848605578
per_con_2&meth_cat_3 ==> time_2	54	0.21011673151750973
mach_cat_2 ==> time_3	67	0.21003134796238246
is_gas_0&per_con_2 ==> time_1	85	0.20987654320987653
per_con_2 ==> time_1	162	0.20876288659793815
hum_1&per_con_2 ==> time_3	82	0.20865139949109415
mach_cat_1 ==> time_2	66	0.2082018927444795
mach_cat_1 ==> time_1	66	0.2082018927444795
is_gas_1&per_con_2 ==> time_1	77	0.20754716981132076
is_gas_0 ==> time_3	106	0.20662768031189083
is_metal_1 ==> time_2	100	0.20618556701030927
hum_1&per_con_2 ==> time_5	81	0.20610687022900764
mach_cat_1&per_con_2 ==> time_2	52	0.20553359683794467
mach_cat_1&per_con_2 ==> time_4	52	0.20553359683794467
mach_cat_1&per_con_2 ==> time_1	52	0.20553359683794467
meth_cat_2&per_con_2 ==> time_2	57	0.20503597122302158
hum_1&is_metal_1 ==> time_3	53	0.20463320463320464
meth_cat_2 ==> time_5	71	0.20402298850574713
hum_1 ==> time_4	103	0.20396039603960395
hum_1&per_con_2 ==> time_2	80	0.2035623409669211
hum_1&is_gas_0 ==> time_3	51	0.20318725099601595
is_metal_1&is_gas_0 ==> time_1	52	0.203125
is_gas_0 ==> time_1	104	0.20272904483430798
is_gas_0&is_metal_0 ==> time_1	52	0.20233463035019456
per_con_2 ==> time_3	157	0.20231958762886598
tem_1&per_con_2 ==> time_5	52	0.20155038759689922
meth_cat_2 ==> time_2	70	0.20114942528735633
hum_1&is_gas_1 ==> time_5	51	0.20078740157480315
is_gas_0 ==> time_2	103	0.20077972709551656
mach_cat_2 ==> time_4	64	0.2006269592476489
mach_cat_3 ==> time_5	73	0.20054945054945056
