hum,tem,is_gas,per_con,is_metal,mach_cat,meth_cat,time
11,-2.407420227559328,1,58,1,1,1,3
78,21.706087958745073,1,70,0,3,3,4
67,-22.8803095984913,0,95,0,3,1,1
75,-22.542931439436334,1,29,1,3,2,4
39,-44.120739067932014,0,92,1,2,1,3
86,-19.10167236061019,1,82,1,2,1,3
44,20.539652334952763,0,94,0,3,2,4
28,24.157107856307277,0,24,0,3,1,4
27,-13.869822775768654,0,4,1,2,1,4
2,-6.2207115222979965,1,67,1,2,2,2
16,-3.1685536106060397,0,58,0,2,1,3
34,27.84198623773713,0,94,0,2,2,5
12,-34.38949547069281,1,43,1,3,1,2
44,-9.656692267587069,1,36,1,3,1,5
31,8.79333702163889,1,60,1,3,1,2
80,-30.06884744307194,0,97,1,3,3,4
85,-33.75077414932352,0,12,1,2,2,1
73,26.065859734622506,0,89,1,2,3,2
43,-6.238159043955655,1,38,1,1,1,2
35,-38.94240411370562,1,8,0,2,1,5
72,-36.94717359530584,1,70,1,2,2,1
77,-23.72092988978305,1,43,0,3,2,3
23,18.558427074658354,0,12,1,2,3,4
56,1.244874168901994,0,19,1,1,2,1
35,6.465172916127294,1,15,0,3,1,5
72,-25.045639046322023,0,34,1,3,2,3
26,11.07716170177256,0,15,1,3,2,1
50,22.053975542821618,1,56,0,3,2,4
74,15.402393787013438,0,70,1,3,2,5
12,-25.870503577945268,1,59,1,2,1,4
81,-30.47741962754313,1,56,1,3,1,2
73,19.1929803604974,0,88,0,1,1,2
87,-26.561762919628045,0,63,1,3,1,1
20,8.031807346842868,0,82,0,2,3,3
92,16.219667618409687,0,11,1,2,1,4
69,17.053645875462266,1,91,0,1,2,1
42,-37.234943796328594,1,94,1,2,1,4
75,8.99941013204566,1,82,0,1,1,5
1,-39.5543679446991,1,47,1,3,1,2
92,14.488449415429159,1,11,0,1,1,5
59,24.96521042937404,0,56,1,3,1,1
28,-3.3129421789384423,0,41,1,2,2,1
10,39.59251290345732,0,8,1,1,1,3
