Rules	support	confidence
cross_area_4 ==> quality_3	61	0.2687224669603524
loc_3 ==> quality_2	63	0.2647058823529412
area_3&meth_cat_1 ==> quality_3	55	0.248868778280543
loc_2 ==> quality_3	56	0.24778761061946902
area_3&meth_cat_2 ==> quality_1	53	0.24766355140186916
meth_cat_1 ==> quality_3	78	0.24148606811145512
shc_1&area_3 ==> quality_3	56	0.23931623931623933
mach_cat_1&area_3 ==> quality_3	52	0.23853211009174313
mach_cat_1&area_3 ==> quality_2	52	0.23853211009174313
cross_area_1 ==> quality_4	63	0.2342007434944238
area_3&meth_cat_3 ==> quality_3	54	0.23376623376623376
mach_cat_1 ==> quality_2	76	0.2331288343558282
meth_cat_2 ==> quality_2	74	0.23125
loc_4 ==> quality_1	58	0.23107569721115537
shc_1 ==> quality_3	78	0.23076923076923078
mach_cat_1 ==> quality_3	75	0.23006134969325154
speed_2 ==> quality_3	54	0.2222222222222222
speed_2 ==> quality_1	54	0.2222222222222222
area_3&mach_cat_2 ==> quality_5	50	0.22123893805309736
cross_area_3 ==> quality_1	54	0.22040816326530613
shc_3 ==> quality_1	75	0.21929824561403508
shc_3 ==> quality_4	75	0.21929824561403508
meth_cat_2 ==> quality_1	70	0.21875
speed_3 ==> quality_1	51	0.21794871794871795
loc_1 ==> quality_3	62	0.21754385964912282
cross_area_2 ==> quality_5	56	0.21621621621621623
mach_cat_3 ==> quality_1	71	0.21515151515151515
meth_cat_1 ==> quality_1	69	0.21362229102167182
speed_4 ==> quality_3	60	0.21352313167259787
area_3 ==> quality_3	142	0.2132132132132132
cross_area_2 ==> quality_2	55	0.21235521235521235
area_3 ==> quality_2	141	0.21171171171171171
speed_1 ==> quality_1	51	0.21074380165289255
loc_1 ==> quality_1	60	0.21052631578947367
meth_cat_3 ==> quality_3	75	0.21008403361344538
meth_cat_3 ==> quality_5	75	0.21008403361344538
mach_cat_2 ==> quality_3	72	0.20930232558139536
cross_area_1 ==> quality_2	56	0.20817843866171004
cross_area_3 ==> quality_2	51	0.20816326530612245
loc_4 ==> quality_4	52	0.20717131474103587
shc_1 ==> quality_1	70	0.20710059171597633
shc_1 ==> quality_5	70	0.20710059171597633
speed_4 ==> quality_2	58	0.20640569395017794
speed_4 ==> quality_4	58	0.20640569395017794
mach_cat_2 ==> quality_1	71	0.2063953488372093
mach_cat_3 ==> quality_2	68	0.20606060606060606
mach_cat_3 ==> quality_4	68	0.20606060606060606
speed_2 ==> quality_2	50	0.205761316872428
meth_cat_3 ==> quality_4	73	0.20448179271708683
loc_1 ==> quality_5	58	0.20350877192982456
mach_cat_2 ==> quality_5	70	0.20348837209302326
mach_cat_2 ==> quality_4	70	0.20348837209302326
loc_4 ==> quality_2	51	0.20318725099601595
meth_cat_1 ==> quality_2	65	0.20123839009287925
cross_area_2 ==> quality_1	52	0.20077220077220076
