Rules	support	confidence
area_5 ==> quality_3	54	0.24545454545454545
mach_cat_3 ==> quality_3	79	0.24012158054711247
area_4 ==> quality_3	55	0.23809523809523808
metal_thi_1 ==> quality_1	64	0.2379182156133829
mach_cat_1 ==> quality_2	80	0.23738872403560832
mach_cat_3 ==> quality_1	78	0.23708206686930092
metal_thi_4 ==> quality_3	59	0.23694779116465864
meth_cat_3 ==> quality_3	75	0.2358490566037736
length_5 ==> quality_3	54	0.23275862068965517
meth_cat_1 ==> quality_3	82	0.23229461756373937
area_5 ==> quality_2	51	0.2318181818181818
metal_cat_2 ==> quality_3	78	0.23076923076923078
area_2 ==> quality_1	51	0.22972972972972974
area_2 ==> quality_4	51	0.22972972972972974
meth_cat_2 ==> quality_2	75	0.22796352583586627
metal_thi_3 ==> quality_4	54	0.22406639004149378
metal_thi_3 ==> quality_3	53	0.21991701244813278
length_4 ==> quality_1	51	0.21982758620689655
mach_cat_1 ==> quality_4	74	0.2195845697329377
meth_cat_2 ==> quality_1	72	0.2188449848024316
metal_cat_1 ==> quality_1	75	0.21739130434782608
metal_thi_2 ==> quality_3	52	0.2157676348547718
metal_cat_1 ==> quality_3	74	0.2144927536231884
metal_thi_4 ==> quality_2	53	0.21285140562248997
meth_cat_3 ==> quality_4	67	0.21069182389937108
mach_cat_2 ==> quality_1	70	0.20958083832335328
mach_cat_1 ==> quality_3	70	0.20771513353115728
metal_thi_2 ==> quality_2	50	0.2074688796680498
metal_thi_2 ==> quality_4	50	0.2074688796680498
metal_cat_2 ==> quality_1	70	0.20710059171597633
mach_cat_2 ==> quality_4	69	0.20658682634730538
metal_cat_1 ==> quality_2	71	0.20579710144927535
metal_cat_3 ==> quality_2	65	0.20504731861198738
mach_cat_2 ==> quality_5	68	0.20359281437125748
metal_cat_3 ==> quality_3	64	0.20189274447949526
metal_cat_3 ==> quality_4	64	0.20189274447949526
metal_cat_3 ==> quality_5	64	0.20189274447949526
metal_thi_1 ==> quality_2	54	0.20074349442379183
mach_cat_2 ==> quality_3	67	0.20059880239520958
