area,length,metal_thi,metal_cat,mach_cat,meth_cat,quality
1.387100757421928,2.0994388477303145,1.238915811084075,1,2,1,4
5.760948075746582,1.3646971456763697,1.6312501509260842,2,2,1,5
2.2285225542069838,3.3959998010312136,0.5715557637312083,3,3,1,2
3.4736344301578645,6.911876946582416,0.71119204459474,1,3,1,5
1.8887001939975967,5.401515139718407,0.5571781096887547,1,3,1,2
9.196320226019337,3.4886531961774345,0.7437631577436905,1,2,1,3
4.920611288770471,7.975507473716061,1.2389745600503026,1,2,3,3
1.4518110490087361,8.860792451551827,0.26727380659149147,3,2,1,3
9.490193533076825,4.395725505453129,1.7502402775642323,3,1,1,4
6.293638408312729,5.627294688214278,0.1349472876345994,3,3,1,3
4.155284722059758,7.577978901525722,0.38223811380432493,3,2,1,3
3.9201080796046917,7.388121166811605,1.25002074361267,3,2,1,1
9.123535457912345,2.748646366217643,0.5236048323253641,3,3,2,5
6.871849026808343,4.11276794821949,0.1617906671692244,2,2,1,2
8.583140865415963,1.4823257095881666,1.7382919691853016,1,2,2,4
2.924012637339978,4.987080817829809,0.48695819144875974,3,3,1,1
8.77080533030195,6.807614029341869,0.1958477936339087,2,2,2,3
2.3965063324164704,1.3958140737747957,1.560427539981801,2,2,3,1
5.7824223752089905,8.662395784837349,1.1160582462359905,1,2,2,3
5.189792247561204,2.746476852521485,0.6654099914335083,2,1,1,3
9.78794354270774,9.894173265111537,1.7011032318082207,3,1,1,2
2.8470455080353148,7.397141372007631,0.7585446244509035,2,1,1,4
5.731365328664352,1.0066717253943132,0.8620593406373329,3,1,2,3
4.655429633775444,5.053431502011629,1.446651721174763,2,3,3,1
3.918809781300246,8.197941418115946,1.1941670989602684,2,2,1,2
8.190360100031185,9.136561728683715,0.460082772228918,3,2,3,2
1.3957148691488745,7.544720514132399,0.2881216211663198,1,3,2,2
1.3911017381219954,1.0485495431988245,0.5419575954840039,1,3,3,2
2.076811978159859,3.4245663354297715,1.8329759577323361,1,3,2,1
6.450652369396972,7.494491218207271,1.4292132011782657,2,2,3,2
3.6224009621641278,5.283021810696049,0.04869516840842891,3,2,2,3
3.7550263081822255,4.998784649508639,1.072998625415033,3,2,3,3
2.1465260313073875,7.407008552478259,1.8945242463680392,2,3,1,3
1.2619392813438888,1.9672666284325357,0.253996741233131,3,3,1,1
2.421718612615428,4.378010016015779,1.2294521477653835,2,1,3,4
3.681105661357749,5.398239150500592,0.34758108451329073,2,3,1,1
1.6088814176050303,3.472106972111843,1.5076257043462724,3,2,1,1
3.0350451889670644,7.296448286953082,0.49575549072060987,1,1,2,1
9.980044440616163,8.971482220168419,1.697102573737072,3,1,3,2
6.674672299119542,1.5976331163796826,0.50496333293644,1,2,3,3
7.8410176538581275,9.135479961805766,0.5943453803635577,3,2,1,1
6.122196934269353,7.3472315602638085,0.15489133664983834,1,1,1,4
5.590581655121466,6.60543515268647,1.4173751470302955,1,1,1,4
9.826722844617388,1.205226601576526,1.36489961999219,1,1,1,5
7.373007114976784,7.187532541022136,0.15177898489699038,2,1,3,1
2.274872046981865,2.789081418002002,1.2063201297273851,1,3,2,5
7.374744126072866,9.727996575618185,0.16321316929469631,2,3,3,4
5.345488743845196,9.700936415526751,1.8067792335010353,2,1,3,1
7.6634541962518234,6.27453622136106,0.2985381467174233,3,2,1,2
6.13937088393743,4.950874379782958,0.3267330625084004,1,3,1,4
6.462183400296667,3.7637830434676482,0.5331045812405375,2,3,1,4
2.134432492372849,5.135317768931045,1.3854238664392962,2,2,3,1
8.938108134210129,2.166200352497634,1.272152735591646,1,3,1,2
1.8290096945534002,5.5061614641276355,1.2040843793033844,1,2,3,1
9.5763697418026,1.0502445775421008,1.8139578594149075,3,3,2,3
2.3662096070947634,3.8150928957063757,1.0550285903009309,2,2,1,4
2.62221530031974,2.590496181832441,1.130710696718947,1,2,1,3
3.241371822470191,9.433438558101006,1.3351683807552601,3,3,3,3
8.867081311846494,9.591656175474437,0.6190602084731454,2,1,2,3
3.763354343072991,5.962677937609538,0.39445148548852704,2,1,1,2
3.0885639998354426,5.243727619732281,1.2018676508038695,3,1,2,5
5.8941809814279225,5.426552233507741,0.0621635771628275,3,1,3,2
1.784615607371883,8.262368487462627,1.8360726189939585,2,2,2,2
2.9662632784010055,1.762580573114004,0.22116288522434302,3,1,2,1
4.838001698453754,5.479953044517403,1.6104865967879562,2,2,2,1
7.339465781667201,7.788958760331479,1.675271806861711,2,3,1,5
1.025153840144883,8.971384794689719,0.4985435930426565,3,3,1,5
5.692906744199882,8.322740664791795,0.48542470096517243,3,3,3,5
7.048466993685892,9.77665348790369,0.8376417030596996,3,2,1,3
3.8196692748979295,4.998753056448356,0.425604931538055,3,2,2,4
7.439256458818896,5.103526421583648,1.6295026969362367,1,1,1,1
