Rules	support	confidence
start_time_type_3&busy_time_3 ==> is_fault_0	52	0.65
start_time_type_4 ==> is_fault_1	74	0.6379310344827587
free_time_3&start_time_type_3 ==> is_fault_0	50	0.6329113924050633
start_time_type_3 ==> is_fault_0	78	0.6290322580645161
close_time_type_7 ==> is_fault_1	81	0.627906976744186
on_time_3&d_type_1 ==> is_fault_0	63	0.6176470588235294
d_type_3&free_time_2 ==> is_fault_1	53	0.6091954022988506
d_type_2&d_age_3&busy_time_3 ==> is_fault_1	74	0.6065573770491803
d_age_1 ==> is_fault_1	66	0.6
busy_time_3&start_time_type_5 ==> is_fault_1	52	0.5977011494252874
d_age_2&d_type_3 ==> is_fault_1	55	0.5913978494623656
free_time_3&busy_time_3&d_type_3 ==> is_fault_1	63	0.5887850467289719
busy_time_3&d_type_3 ==> is_fault_1	105	0.5833333333333334
on_time_2&d_age_3&busy_time_3 ==> is_fault_1	67	0.5826086956521739
d_age_2&free_time_2 ==> is_fault_1	53	0.5824175824175825
close_time_type_6&busy_time_3 ==> is_fault_1	53	0.5824175824175825
free_time_3&d_age_3&d_type_2 ==> is_fault_1	70	0.5785123966942148
start_time_type_2 ==> is_fault_1	67	0.5775862068965517
d_age_2&d_type_1 ==> is_fault_0	53	0.5760869565217391
start_time_type_5 ==> is_fault_1	72	0.576
on_time_2&free_time_2 ==> is_fault_1	57	0.5757575757575758
d_age_3&d_type_2 ==> is_fault_1	116	0.5714285714285714
on_time_2&busy_time_2 ==> is_fault_0	56	0.5714285714285714
start_time_type_8 ==> is_fault_1	62	0.5688073394495413
on_time_3&d_type_3 ==> is_fault_1	61	0.5648148148148148
on_time_1&free_time_3 ==> is_fault_1	119	0.5639810426540285
on_time_1&d_type_3 ==> is_fault_1	53	0.5638297872340425
free_time_3&d_type_1&busy_time_3 ==> is_fault_0	62	0.5636363636363636
free_time_3&d_type_2&busy_time_3 ==> is_fault_1	81	0.5625
busy_time_3&free_time_2 ==> is_fault_1	100	0.5617977528089888
d_type_2&free_time_2 ==> is_fault_1	56	0.56
on_time_1&d_type_2 ==> is_fault_1	68	0.5573770491803278
on_time_2&d_age_3 ==> is_fault_1	107	0.5544041450777202
d_type_3 ==> is_fault_1	169	0.5540983606557377
d_type_2&busy_time_3 ==> is_fault_1	123	0.5540540540540541
close_time_type_2 ==> is_fault_1	66	0.55
on_time_1 ==> is_fault_1	188	0.5497076023391813
free_time_2 ==> is_fault_1	161	0.5494880546075085
on_time_1&busy_time_3 ==> is_fault_1	116	0.5471698113207547
on_time_1&busy_time_2 ==> is_fault_1	53	0.5463917525773195
on_time_1&free_time_3&busy_time_3 ==> is_fault_1	71	0.5461538461538461
free_time_3&d_type_2 ==> is_fault_1	121	0.545045045045045
on_time_2&busy_time_3 ==> is_fault_1	103	0.544973544973545
close_time_type_4 ==> is_fault_1	67	0.5447154471544715
on_time_1&free_time_2 ==> is_fault_1	55	0.5445544554455446
on_time_3&d_type_2 ==> is_fault_1	69	0.5433070866141733
on_time_1&free_time_3&d_age_3 ==> is_fault_1	63	0.5431034482758621
busy_time_1 ==> is_fault_1	57	0.5428571428571428
on_time_2&d_age_2 ==> is_fault_0	52	0.5416666666666666
free_time_3&d_age_3&busy_time_3 ==> is_fault_1	107	0.5404040404040404
d_age_3&busy_time_3&d_type_3 ==> is_fault_1	55	0.5392156862745098
d_age_3&busy_time_3 ==> is_fault_1	186	0.5391304347826087
free_time_3&on_time_2&d_age_3 ==> is_fault_1	64	0.5378151260504201
d_type_2 ==> is_fault_1	194	0.5373961218836565
busy_time_2&d_type_1 ==> is_fault_0	54	0.5346534653465347
busy_time_3 ==> is_fault_1	322	0.5339966832504146
on_time_2&d_type_3 ==> is_fault_1	55	0.5339805825242718
d_age_3&busy_time_3&free_time_2 ==> is_fault_1	56	0.5333333333333333
free_time_1 ==> is_fault_0	57	0.5327102803738317
d_type_1&busy_time_3 ==> is_fault_0	107	0.5323383084577115
free_time_3&busy_time_3 ==> is_fault_1	192	0.5318559556786704
on_time_1&d_type_1 ==> is_fault_1	67	0.5317460317460317
free_time_3&d_type_3 ==> is_fault_1	101	0.531578947368421
free_time_3&d_age_3 ==> is_fault_1	183	0.5304347826086957
free_time_3&on_time_2&busy_time_3 ==> is_fault_1	62	0.5299145299145299
close_time_type_8 ==> is_fault_0	73	0.5289855072463768
d_age_3&d_type_1&busy_time_3 ==> is_fault_0	64	0.5289256198347108
on_time_1&d_age_2 ==> is_fault_1	57	0.5277777777777778
free_time_3&d_age_2&busy_time_3 ==> is_fault_0	64	0.5245901639344263
free_time_3&d_age_3&busy_time_2 ==> is_fault_0	54	0.5242718446601942
d_age_3 ==> is_fault_1	305	0.5240549828178694
close_time_type_5 ==> is_fault_1	67	0.5234375
on_time_1&d_age_3 ==> is_fault_1	102	0.5230769230769231
free_time_3 ==> is_fault_1	313	0.5216666666666666
on_time_1&d_age_3&busy_time_3 ==> is_fault_1	61	0.5213675213675214
d_age_3&busy_time_2 ==> is_fault_0	88	0.5207100591715976
free_time_3&d_age_2 ==> is_fault_0	101	0.520618556701031
d_age_2&d_type_2 ==> is_fault_0	64	0.5203252032520326
on_time_2 ==> is_fault_1	167	0.5202492211838006
close_time_type_1 ==> is_fault_0	66	0.5196850393700787
on_time_2&d_type_1 ==> is_fault_1	55	0.5188679245283019
free_time_3&on_time_2 ==> is_fault_0	99	0.518324607329843
start_time_type_7 ==> is_fault_0	71	0.5182481751824818
d_type_1 ==> is_fault_0	173	0.5179640718562875
free_time_3&on_time_3&busy_time_3 ==> is_fault_1	59	0.5175438596491229
free_time_3&busy_time_2 ==> is_fault_0	90	0.5172413793103449
free_time_3&d_type_1 ==> is_fault_0	97	0.5159574468085106
