Rules	support	confidence
tem_3 ==> is_fault_0	64	0.6666666666666666
tem_3&per_con_2 ==> is_fault_0	51	0.6538461538461539
hum_1&d_type_1&is_gas_1&per_con_2 ==> is_fault_0	51	0.6296296296296297
is_metal_1&is_gas_0&d_type_3 ==> is_fault_1	51	0.6144578313253012
hum_1&d_type_1&is_metal_0 ==> is_fault_0	50	0.6097560975609756
d_age_2&d_type_3 ==> is_fault_1	51	0.6
hum_1&is_gas_1&per_con_2&is_metal_0 ==> is_fault_0	56	0.5957446808510638
hum_1&d_type_1&is_gas_1 ==> is_fault_0	56	0.5957446808510638
d_age_2&d_type_2 ==> is_fault_0	62	0.5904761904761905
hum_1&is_gas_1&is_metal_0 ==> is_fault_0	66	0.5892857142857143
is_gas_0&d_type_3&per_con_2 ==> is_fault_1	79	0.5851851851851851
is_metal_1&hum_3&per_con_2 ==> is_fault_1	50	0.5813953488372093
is_gas_0&d_type_3 ==> is_fault_1	91	0.5796178343949044
hum_1&d_type_2&per_con_2 ==> is_fault_0	74	0.578125
hum_1&is_gas_0&d_type_3 ==> is_fault_1	52	0.5777777777777777
hum_1&is_gas_1&per_con_2 ==> is_fault_0	118	0.5756097560975609
hum_1&is_metal_1&is_gas_0&per_con_2 ==> is_fault_1	69	0.575
hum_1&d_age_3&tem_1&per_con_2 ==> is_fault_0	50	0.5747126436781609
hum_1&d_age_3&is_gas_1&per_con_2 ==> is_fault_0	71	0.5725806451612904
is_gas_0&d_type_2&per_con_2 ==> is_fault_0	83	0.5724137931034483
d_type_1&is_metal_0 ==> is_fault_0	91	0.5723270440251572
hum_1&per_con_2&is_metal_0 ==> is_fault_0	107	0.5721925133689839
is_gas_0&d_type_2 ==> is_fault_0	96	0.5714285714285714
d_type_1&per_con_2&is_metal_0 ==> is_fault_0	73	0.5703125
hum_1&is_metal_1&d_type_3 ==> is_fault_1	53	0.5698924731182796
hum_1&is_metal_0 ==> is_fault_0	127	0.5695067264573991
d_age_2&d_type_2&per_con_2 ==> is_fault_0	50	0.5681818181818182
d_type_2&is_metal_0 ==> is_fault_0	96	0.5680473372781065
hum_1&is_metal_1&tem_1 ==> is_fault_0	59	0.5673076923076923
hum_1&d_type_2 ==> is_fault_0	90	0.5660377358490566
is_metal_1&d_age_3&is_gas_1&per_con_2 ==> is_fault_0	73	0.5658914728682171
tem_6&per_con_2 ==> is_fault_1	56	0.5656565656565656
d_type_1&is_gas_1&per_con_2 ==> is_fault_0	83	0.564625850340136
d_age_3&d_type_1&is_gas_1&per_con_2 ==> is_fault_0	53	0.5638297872340425
hum_1&tem_1&per_con_2 ==> is_fault_0	80	0.5633802816901409
d_type_2&per_con_2&is_metal_0 ==> is_fault_0	80	0.5633802816901409
is_metal_1&is_gas_0&d_age_3&per_con_2 ==> is_fault_1	67	0.5630252100840336
d_age_3&is_gas_0&d_type_2 ==> is_fault_0	54	0.5625
hum_1&is_metal_1&is_gas_0 ==> is_fault_1	79	0.5602836879432624
is_metal_1&d_type_3&per_con_2 ==> is_fault_1	81	0.5586206896551724
hum_1&is_metal_1&is_gas_1&per_con_2 ==> is_fault_0	62	0.5585585585585585
d_type_1&is_gas_1 ==> is_fault_0	101	0.5580110497237569
d_type_2&per_con_2 ==> is_fault_0	148	0.556390977443609
hum_1&d_type_1&per_con_2 ==> is_fault_0	82	0.5540540540540541
hum_1&is_gas_1 ==> is_fault_0	139	0.5537848605577689
d_age_3&d_type_1&is_gas_1 ==> is_fault_0	62	0.5535714285714286
d_type_2 ==> is_fault_0	182	0.5531914893617021
hum_1&d_age_3&per_con_2&is_metal_0 ==> is_fault_0	63	0.5526315789473685
hum_1&d_age_3&is_metal_0 ==> is_fault_0	74	0.5522388059701493
is_metal_1&is_gas_0&d_type_1 ==> is_fault_1	53	0.5520833333333334
tem_4 ==> is_fault_1	59	0.5514018691588785
hum_2&d_age_3 ==> is_fault_1	71	0.5503875968992248
tem_1&is_gas_1&per_con_2 ==> is_fault_0	72	0.549618320610687
