hum,tem,is_gas,per_con,is_metal,d_age,d_type,is_fault
93,-14.360954979254515,0,92,1,2,2,0
78,29.212177292881762,0,99,1,1,3,0
1,14.691139662664611,0,40,0,2,1,0
98,0.7817699500677691,0,54,1,3,3,0
23,9.810836497837016,0,97,0,9,3,0
84,24.925610951616903,1,36,1,1,3,1
2,32.94452603084633,1,82,0,1,2,0
74,-12.535760886264995,0,85,1,6,3,0
89,-40.487640267993655,0,10,1,8,2,0
53,-46.68486018728673,0,48,1,1,1,0
11,23.514687466990594,1,93,0,8,2,1
77,3.0666624020862443,0,24,1,8,1,1
60,-30.101499132876164,0,34,0,8,3,0
11,-30.051068770906465,1,80,0,9,1,0
90,13.566416842577155,1,45,0,3,3,0
79,-24.88969718068151,1,4,0,10,3,1
48,28.091456131478253,0,66,1,7,3,1
35,13.92750582373769,0,63,1,1,1,1
43,13.517163963296234,0,60,0,7,1,0
84,33.22945814484443,0,51,0,8,2,0
99,28.93822373561774,0,74,1,5,3,1
8,-49.78170517168344,1,31,0,6,3,0
7,21.909010579961688,1,17,0,6,2,0
78,26.888636345900792,1,85,1,2,1,1
45,9.490790902936844,0,95,1,8,1,1
91,29.837039295954924,0,66,1,1,2,0
26,12.751208539116071,1,83,0,5,1,1
15,-11.059011755081976,0,28,1,1,1,1
79,-25.515208968224808,0,41,0,10,3,1
54,6.3031143894024595,1,59,1,8,1,1
75,-27.34734863374356,0,33,0,6,2,1
64,32.53003504337131,0,59,0,1,1,0
82,-8.499582027337468,0,32,1,10,1,0
17,-49.75773217408274,0,78,1,2,3,0
70,36.39680079262067,0,34,1,9,2,1
60,-41.65939385057976,0,84,0,1,2,1
12,8.391837634163139,0,61,0,8,2,0
25,-39.270223014853094,1,61,0,2,3,1
9,-49.93386884430144,0,31,1,5,3,1
8,-21.50054772530921,0,9,1,7,2,1
36,7.293118676055201,0,98,0,1,3,0
51,-8.26466757559772,0,47,0,8,1,0
33,-45.62753442261768,1,82,1,8,1,0
66,36.583732181681555,1,43,1,1,3,1
40,31.90639223456921,1,7,1,10,2,0
25,8.976269893880776,1,16,1,8,2,1
11,20.359200283945952,1,51,0,5,1,0
72,-48.962840814822535,1,6,0,5,1,0
62,31.937210832567814,0,77,0,10,1,1
25,-12.941065827325502,0,91,0,2,2,0
81,33.162876336470134,1,12,1,5,2,1
46,-38.64017003415545,1,8,0,2,2,0
86,22.401593029163877,1,64,1,1,3,0
60,-33.03144486530003,0,35,1,8,3,0
55,-23.223033411974157,0,16,0,8,3,1
69,-9.966602879742155,1,6,0,10,2,0
32,-3.855754940866561,1,74,0,3,2,0
41,25.351606405507056,0,70,0,7,2,1
71,31.35339475128336,1,24,0,6,1,1
26,26.642396708109345,1,79,0,7,3,1
32,-42.77598330784502,1,64,0,9,3,1
5,2.1900075504151815,1,1,1,9,3,0
10,-43.082059489499656,1,93,0,1,2,1
41,11.651793130395731,1,2,1,1,2,1
54,15.379619213861673,1,62,0,4,3,0
31,-42.026821045040165,1,31,0,8,1,0
14,0.04085660637970534,1,51,0,1,2,0
86,5.882711173917194,1,36,1,8,2,0
74,-1.093167166504891,1,55,1,9,3,0
8,5.8826913652176245,1,30,1,4,1,1
51,17.27811659303228,1,49,1,8,3,1
94,16.590354516912612,1,34,0,3,3,1
77,-49.124701269040635,1,3,0,1,2,1
4,7.403602352469761,1,88,1,2,3,1
98,30.73492426434808,1,65,0,10,3,1
90,-6.856405829934005,1,69,0,6,3,0
28,27.588040363793368,1,16,1,4,2,0
75,-6.7032371486671,0,41,1,4,3,1
56,-16.577460352760752,1,23,0,5,2,1
87,-24.9804390323919,1,3,1,9,3,1
83,-41.08912464434917,1,16,1,7,1,0
53,8.734705248575644,1,16,1,1,2,1
82,-42.74319972948922,0,23,1,2,2,1
45,26.982722670051615,1,72,1,6,1,1
33,-6.640657385656667,0,89,1,8,2,1
52,4.060804384654155,1,62,1,5,3,1
66,-34.71598838136542,1,61,0,9,1,0
2,-32.978375982146034,1,54,0,3,2,1
55,-6.061556937111945,1,55,1,3,2,0
17,-1.345331142807872,1,99,1,10,2,1
1,18.723148484391558,1,33,0,8,2,0
55,-21.760754482854747,1,4,0,1,2,0
67,-27.676261496688365,0,86,0,9,2,1
57,10.26328125242538,0,86,1,4,1,0
74,-11.934768930097988,1,67,0,5,2,1
87,18.002955064105265,1,38,0,7,2,1
23,-2.793638529381809,1,19,0,4,3,0
73,-18.961845478435016,0,89,1,9,2,1
28,23.592478243077295,0,99,1,2,1,0
21,38.88482589487279,1,66,0,7,1,1
78,22.572840833220923,1,81,1,5,2,0
68,-20.839906625317656,1,85,0,5,1,0
24,-35.05067656082133,0,35,1,4,3,0
23,23.150718549772762,0,43,1,8,1,0
10,15.352005984171115,1,90,0,10,2,1
7,3.951233313497042,1,21,1,2,1,1
17,19.35235504262225,1,34,1,3,1,1
9,-17.829989437568557,0,8,1,10,2,1
63,11.917007273449968,0,59,1,10,1,1
62,16.775554223977636,0,92,1,8,3,0
51,39.50942899567539,0,48,1,9,3,0
29,-49.8363309088436,0,66,0,1,1,1
62,20.472632250688093,0,29,0,3,2,0
57,-44.198240494309935,0,64,0,4,2,0
35,-37.82238755626682,0,39,0,8,2,0
29,-25.545430096627534,1,68,1,8,2,1
41,-29.179327866038687,0,56,0,9,3,1
16,-47.42327772949003,1,54,1,6,2,1
97,39.12765805991256,1,52,0,3,1,1
4,7.37053033798837,0,23,1,4,3,0
75,-14.345606596994777,1,67,1,5,1,0
100,22.380979473048725,1,1,1,9,1,0
18,18.662721425986845,0,34,0,9,3,0
46,-40.209425246009545,0,6,1,8,3,1
31,-4.7897916590494205,1,78,1,7,1,0
88,6.351271513903782,0,2,1,7,2,1
59,25.899425228920407,0,67,0,8,2,0
56,-47.51367702579905,0,32,1,1,1,0
40,31.881352208261234,1,81,0,5,1,0
0,13.961839369220186,0,55,1,1,2,1
70,19.965672908970063,1,69,1,2,2,0
12,17.98506900854312,0,72,0,2,1,0
18,-7.365049635418309,0,13,0,9,1,0
77,-41.01308226778038,0,50,1,9,3,1
66,-0.2796060758481147,1,5,1,7,3,1
9,-40.820713638974595,1,32,1,2,3,0
7,-42.34166899806051,0,2,1,4,1,0
91,3.594132195276231,1,83,1,1,1,1
7,0.3839095909288517,1,25,0,9,2,0
97,-20.75826803470174,1,23,0,2,1,1
57,16.661920699514027,0,82,1,2,2,0
96,-20.707855804617086,1,61,0,10,1,1
95,-46.982925863667134,1,43,1,5,1,1
37,-19.41267390493362,0,37,1,7,2,0
85,-1.2010101823923733,1,38,1,7,2,0
33,23.17635250104547,0,15,1,2,2,0
76,-15.973569950715138,0,23,1,7,2,1
33,-21.014511394562142,0,18,1,9,1,0
55,18.771379222449227,1,29,1,10,3,1
14,2.109276093988939,0,51,0,1,2,0
71,-18.0166577110263,0,34,1,4,2,0
7,29.061927646217214,1,17,1,9,2,1
44,-20.49948670530084,1,67,1,10,2,0
89,0.23181244757268615,0,42,0,8,2,0
95,-46.811104073116496,0,91,1,10,3,0
46,-7.395238961648978,1,15,0,7,1,0
64,-21.6535009439848,0,21,1,1,3,1
90,-4.468694246446894,0,44,0,9,3,0
41,24.396061222583455,0,35,0,8,3,0
39,-31.244035658220206,1,5,1,3,2,1
47,38.134539396588934,1,91,0,1,1,0
11,31.34227726899499,1,88,0,6,3,0
66,21.833577529212377,1,68,0,7,1,0
1,-31.599422857579448,0,92,1,1,3,1
9,38.2526740343006,1,27,1,4,1,0
45,1.252798970117027,0,57,1,2,2,0
18,-21.41589181779294,1,9,0,10,2,1
26,25.914116989218172,0,45,0,3,3,1
20,-20.794204333572324,1,12,1,1,1,0
16,1.1934607263071797,1,0,0,8,2,1
85,28.91452521218021,0,84,0,5,3,1
3,39.004484492749185,0,57,1,10,1,1
73,-12.09780182508942,1,29,1,7,3,1
17,18.35095973962767,0,94,1,10,3,1
51,-39.89162849356406,0,17,0,8,1,1
47,-21.376578284739022,0,90,1,10,1,0
54,-6.269755566670511,1,100,1,2,3,0
13,-7.49768843097484,0,55,0,9,3,0
32,-21.980483616109776,0,5,1,2,1,1
50,-23.240879859604853,1,38,1,9,1,1
57,-1.308136483456252,1,9,1,9,1,1
1,-37.490913416455264,0,98,1,4,2,0
80,-14.21341185752074,1,86,1,3,3,0
40,13.817101383105097,1,49,1,10,2,0
66,-1.9643233107569387,0,38,0,1,2,1
85,-17.30017682704711,0,13,1,1,3,1
54,32.05417991230992,0,36,0,10,2,0
84,-14.672263854520004,1,64,0,4,2,0
34,-14.365436557955,0,34,1,4,1,0
10,34.58996842171827,0,68,0,7,1,0
99,-42.00639315164272,1,95,0,3,3,0
34,-13.646507111680272,0,79,1,2,1,1
63,-18.226972019673685,1,69,1,7,2,0
73,-3.285353529528564,1,20,0,9,2,0
35,4.316047287205144,0,96,0,9,3,0
11,4.927969744068463,0,16,0,3,1,1
63,-17.65200671212343,0,64,1,7,2,1
96,-32.85184470217098,1,41,1,9,1,0
53,33.76338531820765,1,23,0,7,3,1
