name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
VGkpq2nA,5,3,1,2,6,5,1,1,9,4,1,3,1,6,6,5,3,6,1,2
qaOQb3eK,2,2,1,9,6,5,2,2,7,1,6,0,6,5,3,7,2,5,6,1
L4As2WwC,3,7,0,9,1,7,8,4,4,2,3,9,6,1,9,5,2,3,7,0
GwjnS6ol,7,4,2,2,9,8,5,1,2,5,6,7,0,5,4,5,3,8,4,5
flbau4AU,7,2,0,8,3,3,0,2,9,2,9,4,7,1,4,6,0,8,9,3
Ae9ulFc6,4,4,3,4,3,3,9,0,3,3,9,6,8,9,2,2,2,4,2,4
R9heSxPJ,7,5,5,6,0,8,4,8,5,7,2,7,5,3,0,0,5,0,5,0
k5ZLNay9,9,2,2,8,8,4,8,6,3,2,8,6,9,4,6,6,3,2,9,2
byIio2mR,9,8,4,9,0,8,4,7,0,6,9,7,3,7,5,8,2,5,7,3
G1YZDOe8,8,7,3,7,6,8,4,8,3,3,1,0,3,6,3,8,9,9,7,6
g1TuhAHa,7,3,9,4,2,1,4,5,2,8,1,0,8,9,3,8,5,3,2,3
FRj6sZoe,2,6,1,8,5,5,6,1,8,0,7,0,6,3,3,6,4,0,9,8
3AmaxSgC,9,9,3,1,2,5,0,3,6,4,1,8,6,4,9,4,7,3,5,5
pGCju4Vd,3,8,0,9,3,0,0,7,3,5,2,4,5,6,6,7,2,3,2,1
qcOTGYto,2,1,4,4,2,7,8,0,9,5,7,0,4,9,4,8,6,9,9,9
TfbGHpzP,7,2,1,2,1,9,2,0,2,9,1,5,9,0,2,6,1,2,6,9
L9brMInH,7,5,6,0,6,8,5,6,4,7,8,2,7,6,4,2,8,9,2,0
tcO16HVp,0,7,7,9,1,6,6,3,6,6,6,3,8,0,9,3,1,4,9,2
G1wfOWNl,6,0,3,2,2,3,1,0,6,3,7,4,5,2,0,8,3,3,2,8
GTnIaHlR,6,2,6,0,2,1,6,1,9,7,5,1,1,5,7,8,5,2,1,0
mj1bVYTC,9,4,2,9,2,8,5,1,8,6,4,0,6,9,5,9,3,1,3,1
A2EIDpa0,7,7,7,6,4,9,7,6,4,9,7,1,2,2,0,5,6,1,2,3
9FCqPYdA,5,7,7,8,2,6,5,0,3,0,8,9,5,9,7,0,6,6,1,8
H07CPDqG,0,1,1,0,2,8,6,1,3,8,7,6,6,6,9,4,3,8,8,8
goXnD9Hh,0,3,4,4,8,0,1,5,2,8,4,7,8,1,7,4,3,4,8,7
TtSlR3Ex,6,2,7,0,4,5,7,1,3,1,3,0,2,6,7,2,0,5,8,2
XOlNQZpt,5,8,9,1,7,5,9,8,7,1,7,0,8,9,8,9,5,0,7,3
